TestID,Group,Encoder,CaptureMethod,RateControl,Preset,CRF,Tune,TargetFPS,TargetKbps,PixFmt,Duration,Status,ExitCode,ActualFPS,ActualKbps,ActualWidth,ActualHeight,FileSizeKB,Command
1,G1_X264_Capture,libx264,gdigrab,crf,medium,23,,30,50000,yuv420p,9.1,PASS,0,26.62,326,0,1,319,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx264 -preset medium -crf 23 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_001_libx264_gdigrab.mp4
2,G1_X264_Capture,libx264,ddagrab,crf,medium,23,,60,50000,nv12,1,FAIL,-22,,,,,0,-hide_banner -loglevel info -f lavfi -i ddagrab=output_idx=0:framerate=60 -vf hwdownload,format=nv12 -c:v libx264 -preset medium -crf 23 -pix_fmt nv12 -t 8 -movflags +faststart -y CPU_Tests\CPU_002_libx264_ddagrab.mp4
3,G1_X264_Capture,libx264,gfxcapture,crf,medium,23,,60,50000,nv12,1,FAIL,-22,,,,,0,-hide_banner -loglevel info -f lavfi -i gfxcapture=monitor_idx=0:max_framerate=60 -vf fps=60,hwdownload,format=nv12 -c:v libx264 -preset medium -crf 23 -pix_fmt nv12 -t 8 -movflags +faststart -y CPU_Tests\CPU_003_libx264_gfxcapture.mp4
4,G2_X264_CRF,libx264,gdigrab,crf,medium,18,,30,0,yuv420p,9.1,PASS,0,27.39,580,0,1,567,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx264 -preset medium -crf 18 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_004_libx264_gdigrab.mp4
5,G2_X264_CRF,libx264,gdigrab,crf,medium,20,,30,0,yuv420p,9.1,PASS,0,28.12,629,0,1,612,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx264 -preset medium -crf 20 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_005_libx264_gdigrab.mp4
6,G2_X264_CRF,libx264,gdigrab,crf,medium,23,,30,0,yuv420p,9.1,PASS,0,28.01,454,0,1,444,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx264 -preset medium -crf 23 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_006_libx264_gdigrab.mp4
7,G2_X264_CRF,libx264,gdigrab,crf,medium,26,,30,0,yuv420p,9.1,PASS,0,27.38,296,0,1,289,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx264 -preset medium -crf 26 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_007_libx264_gdigrab.mp4
8,G2_X264_CRF,libx264,gdigrab,crf,medium,28,,30,0,yuv420p,9.1,PASS,0,27.26,204,0,1,199,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx264 -preset medium -crf 28 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_008_libx264_gdigrab.mp4
9,G2_X264_CRF,libx264,gdigrab,crf,medium,30,,30,0,yuv420p,9.1,PASS,0,28.12,229,0,1,224,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx264 -preset medium -crf 30 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_009_libx264_gdigrab.mp4
10,G3_X264_Presets,libx264,gdigrab,crf,ultrafast,23,,30,0,yuv420p,9.1,PASS,0,27,1188,0,1,1161,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx264 -preset ultrafast -crf 23 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_010_libx264_gdigrab.mp4
11,G3_X264_Presets,libx264,gdigrab,crf,superfast,23,,30,0,yuv420p,9.1,PASS,0,27.75,865,0,1,845,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx264 -preset superfast -crf 23 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_011_libx264_gdigrab.mp4
