run,arm,t0mode,mp4,pass,frames_captured,frames_encoded,frames_duplicated,nvenc_errors,video_bytes,file_size,mux_duration_s,mp4_start_time,mp4_first_pts,mp4_packets,actual_duration_s
arm-on-1,on,arm,phase4b-arm-on1.mp4,True,197,181,0,0,115840,118183,3.020,0.000000,0.000000,181,3.000
arm-on10-1,on10,arm,phase4b-arm-on101.mp4,True,191,180,1,0,115200,117541,3.000,0.000000,0.000000,180,3.000
arm-off-1,off,arm,phase4b-arm-off1.mp4,True,190,180,2,0,115200,117541,3.000,0.000000,0.000000,180,3.000
arm-on-2,on,arm,phase4b-arm-on2.mp4,True,196,181,0,0,115840,118183,3.020,0.000000,0.000000,181,3.000
arm-on10-2,on10,arm,phase4b-arm-on102.mp4,True,191,180,1,0,115200,117541,3.000,0.000000,0.000000,180,3.000
arm-off-2,off,arm,phase4b-arm-off2.mp4,True,190,180,2,0,115200,117541,3.000,0.000000,0.000000,180,3.000
arm-on-3,on,arm,phase4b-arm-on3.mp4,True,197,181,0,0,115840,118183,3.020,0.000000,0.000000,181,3.000
arm-on10-3,on10,arm,phase4b-arm-on103.mp4,True,191,180,1,0,115200,117541,3.000,0.000000,0.000000,180,3.000
arm-off-3,off,arm,phase4b-arm-off3.mp4,True,192,180,2,0,115200,117541,3.000,0.000000,0.000000,180,3.000
loop-on-1,on,loop,phase4b-loop-on1.mp4,True,196,181,0,0,115840,118183,3.020,0.000000,0.000000,181,3.000
loop-on10-1,on10,loop,phase4b-loop-on101.mp4,True,193,180,1,0,115200,117541,3.000,0.000000,0.000000,180,3.000
loop-off-1,off,loop,phase4b-loop-off1.mp4,True,191,180,1,0,115200,117541,3.000,0.000000,0.000000,180,3.000
loop-on-2,on,loop,phase4b-loop-on2.mp4,True,199,181,0,0,115840,118183,3.020,0.000000,0.000000,181,3.000
loop-on10-2,on10,loop,phase4b-loop-on102.mp4,True,192,180,1,0,115200,117541,3.000,0.000000,0.000000,180,3.000
loop-off-2,off,loop,phase4b-loop-off2.mp4,True,191,180,1,0,115200,117541,3.000,0.000000,0.000000,180,3.000
loop-on-3,on,loop,phase4b-loop-on3.mp4,True,198,181,0,0,115840,118183,3.020,0.000000,0.000000,181,3.000
loop-on10-3,on10,loop,phase4b-loop-on103.mp4,True,189,180,5,0,115200,117541,3.000,0.000000,0.000000,180,3.000
loop-off-3,off,loop,phase4b-loop-off3.mp4,True,190,180,1,0,115200,117541,3.000,0.000000,0.000000,180,3.000
