[2026-09-23T22:16:00.002Z] [info] ShadowPlay Portable backend 1.0.0 starting (node v24.18.0)
[2026-09-23T22:16:00.004Z] [info] config: port=59001 osc=C:\My Project\NVIDIA-Shadowplay-gfe\dist\nvoverlay-layout\NVIDIA ShadowPlay\NvOverlay\CEF\Resources\osc dulukaServer=http://127.0.0.1:5115 securityCheck=false
[2026-09-23T22:16:03.067Z] [info] osc frontend served from C:\My Project\NVIDIA-Shadowplay-gfe\dist\nvoverlay-layout\NVIDIA ShadowPlay\NvOverlay\CEF\Resources\osc
[2026-09-23T22:16:04.217Z] [error] server error: Error: listen EADDRINUSE: address already in use 127.0.0.1:59001
    at Server.setupListenHandle [as _listen2] (node:net:2009:16)
    at listenInCluster (node:net:2066:12)
    at node:net:2275:7
    at process.processTicksAndRejections (node:internal/process/task_queues:90:21)
[2026-09-23T22:16:04.218Z] [error] port 59001 already in use — is another backend (or the real Web Helper) running?
[2026-09-23T22:16:34.923Z] [info] ShadowPlay Portable backend 1.0.0 starting (node v24.18.0)
[2026-09-23T22:16:34.925Z] [info] config: port=59101 osc=C:\My Project\NVIDIA-Shadowplay-gfe\dist\nvoverlay-layout\NVIDIA ShadowPlay\NvOverlay\CEF\Resources\osc dulukaServer=http://127.0.0.1:5115 securityCheck=false
[2026-09-23T22:16:35.084Z] [info] osc frontend served from C:\My Project\NVIDIA-Shadowplay-gfe\dist\nvoverlay-layout\NVIDIA ShadowPlay\NvOverlay\CEF\Resources\osc
[2026-09-23T22:16:35.206Z] [info] Backend listening on http://127.0.0.1:59101 (126 routes, osc served, no cookie)
[2026-09-23T22:16:35.207Z] [info] Alt+Z wire-through ready: POST /ShadowPlay/v.1.0/Hotkey/Toggle
[2026-09-23T22:16:35.564Z] [warn] hardwareFloor: WMI probe failed (Command failed: powershell.exe -NoProfile -NonInteractive -ExecutionPolicy Bypass -Command $ErrorActionPreference='SilentlyContinue'; $gpu = Get-CimInstance Win32_VideoController | Where-Object { $_.Name -notmatch 'Parsec|Virtual' } | Select-Object -First 1; $nvgpu = Get-CimInstance Win32_VideoController | Where-Object { $_.Name -match 'NVIDIA' } | Select-Object -First 1; if ($nvgpu) { $gpu = $nvgpu }; $cpu = (Get-CimInstance Win32_Processor | Select-Object -First 1).Name; $bios = (Get-CimInstance Win32_BIOS | Select-Object -First 1).SMBIOSBIOSVersion; $cs = Get-CimInstance Win32_ComputerSystem | Select-Object -First 1; $mem = [string]$cs.TotalPhysicalMemory; $ram = [string]$gpu.AdapterRAM; $res = '{0}x{1}@{2}' -f $gpu.CurrentHorizontalResolution, $gpu.CurrentVerticalResolution, $gpu.CurrentRefreshRate; if ($res -notmatch '\dx\d') { $res = '1920x1080@60' }; $did=''; $vid=''; $sub=''; $subv=''; if ($gpu.PNPDeviceID -match 'DEV_([0-9A-F]{4})') { $did=$Matches[1] }; if ($gpu.PNPDeviceID -match 'VEN_([0-9A-F]{4})') { $vid=$Matches[1] }; if ($gpu.PNPDeviceID -match 'SUBSYS_([0-9A-F]{4})([0-9A-F]{4})') { $sub=$Matches[1]; $subv=$Matches[2] }; $tele = ($vid + $did).ToLower() + ('0' * 56); [pscustomobject]@{;   MoboType='Desktop'; BIOSVersion=[string]$bios;   PhysicalMemoryCapacity=$mem; JarvisDeviceId=($vid+$did);   TelemetryDeviceId=$tele; UserDefaultUILanguage='1033';   ProcessorArchitecture='AMD64'; OSVersion='10.0';   OSBuildNumber=[string][System.Environment]::OSVersion.Version.Build;   TotalPhysicalMemory=$mem; CurrentResolution=$res;   PCName=$env:COMPUTERNAME; CPUName=[string]$cpu;   DriverVersion=[string]$gpu.DriverVersion; IsDCHDriverInstalled='1';   DriverType='0'; SLISupported='0'; HasActiveSLITopology='0';   ActiveTopologyGPUCount='0'; IsOptimus='0';   GPU=@([pscustomobject]@{;     LongGPUName=[string]$gpu.Name; ActualVRAMSize=$ram; GPURAMType='';     VBIOSVersion=''; IsQuadro='0'; DeviceId=$did; VendorId=$vid;     SubSystemId=$sub; SubVendorId=$subv; SystemType='DESKTOP';     BrandType='1'; PhysicalGPUHandle=''; GPUArchitecture='';     GPUArchRevision=''; GPUArchVersion=''; GPUArchImplementation='';     IsPrimary='1';   }); } | ConvertTo-Json -Depth 4
At line:1 char:1129
+ ... le = ($vid + $did).ToLower() + ('0' * 56); [pscustomobject]@{;   Mobo ...
+                                                                  ~
The hash literal was incomplete.
At line:1 char:1723
+ ... pologyGPUCount='0'; IsOptimus='0';   GPU=@([pscustomobject]@{;     Lo ...
+                                                                  ~
The hash literal was incomplete.
At line:1 char:1722
+ ... opologyGPUCount='0'; IsOptimus='0';   GPU=@([pscustomobject]@{;     L ...
+                                                                  ~
Missing closing ')' in expression.
At line:1 char:2075
+ ... hVersion=''; GPUArchImplementation='';     IsPrimary='1';   }); } | C ...
+                                                                 ~
Unexpected token '}' in expression or statement.
At line:1 char:2076
+ ... Version=''; GPUArchImplementation='';     IsPrimary='1';   }); } | Co ...
+                                                                 ~
Unexpected token ')' in expression or statement.
At line:1 char:2079
+ ... sion=''; GPUArchImplementation='';     IsPrimary='1';   }); } | Conve ...
+                                                                 ~
Unexpected token '}' in expression or statement.
At line:1 char:2081
+ ... on=''; GPUArchImplementation='';     IsPrimary='1';   }); } | Convert ...
+                                                                 ~
An empty pipe element is not allowed.
    + CategoryInfo          : ParserError: (:) [], ParentContainsErrorRecordException
    + FullyQualifiedErrorId : IncompleteHashLiteral
 
) — generic shape stays
[2026-09-23T22:16:58.817Z] [info] Socket bvRxH1Ez2hUeEn_mAAAA connected (127.0.0.1)
[2026-09-23T22:16:58.822Z] [info] Socket 1fv9iOaBeajbEQMNAAAB connected (127.0.0.1)
[2026-09-23T22:16:58.826Z] [info] Socket 0Ac_aoeLfcEPCrLQAAAC connected (127.0.0.1)
[2026-09-23T22:16:58.829Z] [info] Socket FTGVRNWE5BUoFeAXAAAD connected (127.0.0.1)
[2026-09-23T22:16:58.832Z] [info] Socket bMogzT62P7jQb9jLAAAE connected (127.0.0.1)
[2026-09-23T22:16:58.836Z] [info] Socket 8Fw1YUbqZ4Mu--3hAAAF connected (127.0.0.1)
[2026-09-23T22:16:58.840Z] [info] Socket yF3OS0eNYzbqrhWSAAAG connected (127.0.0.1)
[2026-09-23T22:16:58.844Z] [info] Socket NZjW6P5Bu8nmxgdxAAAH connected (127.0.0.1)
[2026-09-23T22:16:58.847Z] [info] Socket HoLMPm_h9T93gDceAAAI connected (127.0.0.1)
[2026-09-23T22:16:58.853Z] [info] Socket e-Fv64VUa2Etv8m4AAAJ connected (127.0.0.1)
[2026-09-23T22:16:58.860Z] [info] Socket lDCCMKt7mNqW_x1XAAAK connected (127.0.0.1)
[2026-09-23T22:16:58.864Z] [info] Socket WCMVU-oq5FDI32-LAAAL connected (127.0.0.1)
[2026-09-23T22:16:58.869Z] [info] Socket GCF3teXpgpSNyG3FAAAM connected (127.0.0.1)
[2026-09-23T22:16:58.873Z] [info] Socket DSMyzMMLPz12SY2wAAAN connected (127.0.0.1)
[2026-09-23T22:16:58.878Z] [info] Socket xTwtMRbEXVxGHR7cAAAO connected (127.0.0.1)
[2026-09-23T22:16:58.885Z] [info] Socket 2XTN83rZTSoZwtkBAAAP connected (127.0.0.1)
[2026-09-23T22:16:58.890Z] [info] Socket D5r10RhCI5ABcZ59AAAQ connected (127.0.0.1)
[2026-09-23T22:16:58.897Z] [info] Socket WG2FTnXXJJt5zXOlAAAR connected (127.0.0.1)
[2026-09-23T22:16:58.901Z] [info] Socket mPg7grpBb1HxjI3BAAAS connected (127.0.0.1)
[2026-09-23T22:16:58.906Z] [info] Socket 9hV8RNWrGsGs5f7mAAAT connected (127.0.0.1)
[2026-09-23T22:16:58.911Z] [info] Socket R9YDm5bNXHZq3Q1hAAAU connected (127.0.0.1)
[2026-09-23T22:16:58.917Z] [info] Socket gKYTHpSbRKoKnsa8AAAV connected (127.0.0.1)
[2026-09-23T22:16:58.921Z] [info] Socket TA2m-79d7hJPxAmFAAAW connected (127.0.0.1)
[2026-09-23T22:16:58.931Z] [info] Socket aB5CP-EdYduevPs6AAAX connected (127.0.0.1)
[2026-09-23T22:16:58.938Z] [info] Socket ppqkHASRHR2uVSa9AAAY connected (127.0.0.1)
[2026-09-23T22:16:58.941Z] [info] Socket KBx01O7hjDdGIRVxAAAZ connected (127.0.0.1)
[2026-09-23T22:16:58.946Z] [info] Socket wL78GS01gyJR-xFfAAAa connected (127.0.0.1)
[2026-09-23T22:16:58.950Z] [info] Socket dwhTJYzwLA1vbSEWAAAb connected (127.0.0.1)
[2026-09-23T22:16:58.953Z] [info] Socket TA9uqzpJcZFez4duAAAc connected (127.0.0.1)
[2026-09-23T22:16:58.958Z] [info] Socket C5ZUP03mqwsNYydfAAAd connected (127.0.0.1)
[2026-09-23T22:16:58.962Z] [info] Socket ztJDw2_ifCHqBTqLAAAe connected (127.0.0.1)
[2026-09-23T22:16:58.965Z] [info] Socket CxMbKqBs5CHXO-mHAAAf connected (127.0.0.1)
[2026-09-23T22:16:58.968Z] [info] Socket is9yEuSLlzcW206qAAAg connected (127.0.0.1)
[2026-09-23T22:16:58.973Z] [info] Socket Cp4GUuUm1G9X-nySAAAh connected (127.0.0.1)
[2026-09-23T22:16:58.978Z] [info] Socket joN9b6XYiruqPOppAAAi connected (127.0.0.1)
[2026-09-23T22:16:58.982Z] [info] Socket NzOqpLVIY0hFBYeFAAAj connected (127.0.0.1)
[2026-09-23T22:16:58.987Z] [info] Socket jgmAjpNEWMqhooLqAAAk connected (127.0.0.1)
[2026-09-23T22:16:58.991Z] [info] Socket QfIWvbZ2UbuWz0HiAAAl connected (127.0.0.1)
[2026-09-23T22:16:58.994Z] [info] Socket OIe9kDHrbmxFGHJCAAAm connected (127.0.0.1)
[2026-09-23T22:16:58.999Z] [info] Socket NpQuYZmfJCUMrenRAAAn connected (127.0.0.1)
[2026-09-23T22:16:59.003Z] [info] Socket pwxKxv16bbo8YduKAAAo connected (127.0.0.1)
[2026-09-23T22:16:59.007Z] [info] Socket 0IzN72Squ6wPcMczAAAp connected (127.0.0.1)
[2026-09-23T22:16:59.012Z] [info] Socket uL-Iy4UqT5dRHu08AAAq connected (127.0.0.1)
[2026-09-23T22:16:59.016Z] [info] Socket L44gLHUm-AgW18jXAAAr connected (127.0.0.1)
[2026-09-23T22:16:59.021Z] [info] Socket AAgwhJd97NdDOImqAAAs connected (127.0.0.1)
[2026-09-23T22:16:59.026Z] [info] Socket H_2qCDJPZp5PWADuAAAt connected (127.0.0.1)
[2026-09-23T22:16:59.030Z] [info] Socket chnmCOb5aTgIl6F7AAAu connected (127.0.0.1)
[2026-09-23T22:16:59.032Z] [info] Socket FdqcCd3S1Hy1VZuuAAAv connected (127.0.0.1)
[2026-09-23T22:16:59.035Z] [info] Socket gvEi83cqgxK62NjTAAAw connected (127.0.0.1)
