index,sw_ticks,qpc_position,device_position,frames,flags
0,2531042303848,2531042494525,77957280,480,1
1,2531042413388,2531042600752,77957760,480,0
2,2531042571015,2531042696679,77958240,480,0
3,2531042571081,2531042797877,77958720,480,0
4,2531042719975,2531042898798,77959200,480,0
5,2531042877814,2531043000188,77959680,480,0
6,2531042877869,2531043096008,77960160,480,0
7,2531043039398,2531043201809,77960640,480,0
8,2531043189755,2531043297465,77961120,480,0
9,2531043189872,2531043398439,77961600,480,0
10,2531043345014,2531043499191,77962080,480,0
11,2531043508099,2531043599899,77962560,480,0
12,2531043508184,2531043695400,77963040,480,0
13,2531043663488,2531043800936,77963520,480,0
14,2531043815341,2531043896170,77964000,480,0
15,2531043815413,2531044002051,77964480,480,0
16,2531043969876,2531044097636,77964960,480,0
17,2531044124743,2531044198193,77965440,480,0
18,2531044124812,2531044298580,77965920,480,0
19,2531044280401,2531044398867,77966400,480,0
20,2531044280463,2531044499132,77966880,480,0
21,2531044436913,2531044599692,77967360,480,0
22,2531044597160,2531044700133,77967840,480,0
23,2531044597225,2531044800759,77968320,480,0
24,2531044756053,2531044896890,77968800,480,0
25,2531044911037,2531045002149,77969280,480,0
26,2531044911128,2531045097664,77969760,480,0
27,2531045069549,2531045198341,77970240,480,0
28,2531045225060,2531045298789,77970720,480,0
29,2531045225989,2531045399180,77971200,480,0
30,2531045381083,2531045499451,77971680,480,0
31,2531045381140,2531045599731,77972160,480,0
32,2531045542369,2531045695193,77972640,480,0
33,2531045702623,2531045800727,77973120,480,0
34,2531045702701,2531045895920,77973600,480,0
35,2531045863076,2531046001398,77974080,480,0
36,2531046019601,2531046097604,77974560,480,0
37,2531046020055,2531046202971,77975040,480,0
38,2531046175270,2531046297628,77975520,480,0
39,2531046175338,2531046398726,77976000,480,0
40,2531046329670,2531046498230,77976480,480,0
41,2531046491364,2531046599120,77976960,480,0
42,2531046491460,2531046699171,77977440,480,0
43,2531046651926,2531046800226,77977920,480,0
44,2531046812801,2531046895557,77978400,480,0
45,2531046812892,2531047001094,77978880,480,0
46,2531046973041,2531047096782,77979360,480,0
47,2531047138200,2531047202609,77979840,480,0
48,2531047138321,2531047297768,77980320,480,0
49,2531047289890,2531047397907,77980800,480,0
50,2531047289957,2531047498223,77981280,480,0
51,2531047440262,2531047599160,77981760,480,0
52,2531047596938,2531047700882,77982240,480,0
53,2531047596997,2531047800766,77982720,480,0
54,2531047752407,2531047895941,77983200,480,0
55,2531047908741,2531048001571,77983680,480,0
56,2531047908799,2531048096944,77984160,480,0
57,2531048058235,2531048197765,77984640,480,0
58,2531048214705,2531048297820,77985120,480,0
59,2531048214782,2531048398379,77985600,480,0
60,2531048373696,2531048498706,77986080,480,0
61,2531048373853,2531048599456,77986560,480,0
62,2531048530757,2531048700341,77987040,480,0
63,2531048695742,2531048802150,77987520,480,0
64,2531048695892,2531048895838,77988000,480,0
65,2531048852781,2531049001681,77988480,480,0
66,2531049014427,2531049096964,77988960,480,0
67,2531049014514,2531049197543,77989440,480,0
68,2531049169075,2531049297832,77989920,480,0
69,2531049330211,2531049398088,77990400,480,0
70,2531049330650,2531049498301,77990880,480,0
71,2531049491412,2531049598890,77991360,480,0
72,2531049491475,2531049699043,77991840,480,0
73,2531049651524,2531049801038,77992320,480,0
74,2531049812642,2531049896286,77992800,480,0
75,2531049812697,2531050001610,77993280,480,0
76,2531049968811,2531050097371,77993760,480,0
77,2531050126036,2531050197645,77994240,480,0
78,2531050126113,2531050297990,77994720,480,0
79,2531050280959,2531050398325,77995200,480,0
80,2531050281030,2531050498842,77995680,480,0
81,2531050435666,2531050599782,77996160,480,0
82,2531050587457,2531050699607,77996640,480,0
83,2531050587496,2531050800771,77997120,480,0
84,2531050742479,2531050898084,77997600,480,0
85,2531050905029,2531051001616,77998080,480,0
86,2531050905091,2531051097886,77998560,480,0
87,2531051055811,2531051198610,77999040,480,0
88,2531051206571,2531051294130,77999520,480,0
89,2531051206613,2531051400430,78000000,480,0
90,2531051363930,2531051495725,78000480,480,0
91,2531051523461,2531051596287,78000960,480,0
92,2531051523543,2531051701844,78001440,480,0
93,2531051686103,2531051802617,78001920,480,0
94,2531051686166,2531051898256,78002400,480,0
95,2531051836038,2531051999577,78002880,480,0
96,2531052000273,2531052099719,78003360,480,0
97,2531052000325,2531052195146,78003840,480,0
98,2531052157742,2531052300822,78004320,480,0
