index,sw_ticks,qpc_position,device_position,frames,flags,phase
0,2586776863820,2586776900851,345482400,480,1,0
1,2586776871116,2586777001098,345482880,480,0,0
2,2586776871580,2586777096778,345483360,480,0,0
3,2586777013651,2586777202069,345483840,480,0,0
4,2586777164057,2586777297365,345484320,480,0,0
5,2586777325125,2586777397954,345484800,480,0,0
6,2586777325330,2586777498762,345485280,480,0,0
7,2586777485495,2586777593790,345485760,480,0,0
8,2586777485552,2586777694150,345486240,480,0,0
9,2586777646600,2586777799393,345486720,480,0,0
10,2586777807602,2586777899766,345487200,480,0,0
11,2586777807665,2586778000360,345487680,480,0,0
12,2586777962267,2586778100774,345488160,480,0,0
13,2586778118247,2586778195775,345488640,480,0,0
14,2586778118447,2586778295992,345489120,480,0,0
15,2586778282616,2586778401825,345489600,480,0,0
16,2586778282662,2586778497131,345490080,480,0,0
17,2586778433894,2586778602571,345490560,480,0,0
18,2586778583554,2586778697676,345491040,480,0,0
19,2586778583616,2586778793016,345491520,480,0,0
20,2586778744018,2586778893371,345492000,480,0,0
21,2586778901234,2586778998782,345492480,480,0,0
22,2586778901315,2586779093918,345492960,480,0,0
23,2586779061768,2586779199778,345493440,480,0,0
24,2586779217701,2586779294799,345493920,480,0,0
25,2586779217770,2586779395203,345494400,480,0,0
26,2586779382673,2586779501046,345494880,480,0,0
27,2586779382744,2586779595917,345495360,480,0,0
28,2586779532645,2586779701267,345495840,480,0,0
29,2586779688531,2586779796676,345496320,480,0,0
30,2586779688610,2586779902083,345496800,480,0,0
31,2586779850715,2586779997746,345497280,480,0,0
32,2586780005002,2586780093232,345497760,480,0,0
33,2586780005236,2586780198543,345498240,480,0,0
34,2586780160725,2586780293920,345498720,480,0,0
35,2586780316800,2586780394054,345499200,480,0,0
36,2586780317021,2586780499984,345499680,480,0,0
37,2586780473221,2586780595442,345500160,480,0,0
38,2586780473268,2586780700917,345500640,480,0,0
39,2586780627637,2586780795978,345501120,480,0,0
40,2586780783990,2586780901637,345501600,480,0,0
41,2586780784046,2586780997599,345502080,480,0,0
42,2586780944822,2586781102656,345502560,480,0,0
43,2586781100106,2586781197959,345503040,480,0,0
44,2586781100158,2586781293898,345503520,480,0,0
45,2586781256610,2586781393515,345504000,480,0,0
46,2586781413073,2586781501230,345504480,480,0,0
47,2586781413128,2586781596569,345504960,480,0,0
48,2586781570406,2586781701960,345505440,480,0,0
49,2586781570467,2586781797192,345505920,480,0,0
50,2586781724490,2586781898040,345506400,480,0,0
51,2586781875696,2586781998484,345506880,480,0,0
52,2586781875753,2586782094059,345507360,480,0,0
